Fish ID,Sample type,Lake,Sampling year,Sampling month,Sampling date,Temperature ©,Conductivity,Vol. pre-filtered water (L),Incub. Start time (24h),Incub. End time (24h),Time elapsed (min),Total length (mm),Fork length (mm),Mass (g),Tag analysis date,TDN analysis date,TDP analysis date,DOC analysis date,Tag (µg/L),TDN (µg/L),N excretion (µg),N excretion rate (µg/ind/h),TDP (µg/L),P excretion (µg),P excretion rate (µg/ind/h),DOC (µg/L)
L2397,F7,239,2014,8,15,18.0,NA,0.75,901,931,30,52,49,1.137,NA,2016-03-25,2014-08-15,NA,NA,396.4830497,80.97304966,161.9460993,21.66796875,12.82,25.64,NA
L2398,F8,239,2014,8,15,18.0,NA,0.75,901,932,31,40,38,0.758,NA,2016-03-25,2014-08-15,NA,NA,NA,NA,NA,7.95,2.53,4.90,NA
L2399,F9,239,2014,8,15,18.0,NA,0.75,901,933,32,50,47,0.949,NA,2016-03-25,2014-08-15,NA,NA,NA,NA,NA,18.84,10.70,20.06,NA
L23910,F10,239,2014,8,15,18.0,NA,0.75,901,934,33,45,43,0.881,NA,2016-03-25,2014-08-15,NA,NA,392.3475598,76.83755977,139.7046541,13.10,6.40,11.63,NA
L23911,F11,239,2014,8,15,18.0,NA,0.75,901,934,33,42,40,0.747,NA,2016-03-25,2014-08-15,NA,NA,NA,NA,NA,NA,NA,NA,NA
L23912,F12,239,2014,8,15,18.0,NA,0.75,901,935,34,45,43,0.853,NA,2016-03-25,2014-08-15,NA,NA,305.2327681,-10.27723186,NA,19.05,10.86,19.17,NA
L23913,F13,239,2014,8,15,18.0,NA,0.75,902,936,34,50,47,1.19,NA,2016-03-25,2014-08-15,NA,NA,NA,NA,NA,18.25,10.26,18.10,NA
L23914,F14,239,2014,8,15,18.0,NA,0.75,903,936,33,50,47,1.099,NA,2016-03-25,2014-08-15,NA,NA,NA,NA,NA,20.37,11.85,21.54,NA
L23915,F15,239,2014,8,15,18.0,NA,0.75,903,937,34,45,43,0.743,NA,2016-03-25,2014-08-15,NA,NA,NA,NA,NA,12.00,5.57,9.83,NA
L23916,F16,239,2014,8,15,18.0,NA,0.75,903,937,34,48,45,0.928,NA,2016-03-25,2014-08-15,NA,NA,357.2795431,41.76954306,73.71095834,12.89,6.24,11.01,NA
L23917,F17,239,2014,8,15,18.0,NA,0.75,904,938,34,49,47,1.009,NA,2016-03-25,2014-08-15,NA,NA,NA,NA,NA,18.28,10.28,18.14,NA
L23918,F18,239,2014,8,15,18.0,NA,0.75,904,938,34,47,45,0.882,NA,2016-03-25,2014-08-15,NA,NA,NA,NA,NA,16.38,8.85,15.62,NA
L23919,F19,239,2014,8,15,18.0,NA,0.75,905,939,34,47,45,0.904,NA,2016-03-25,2014-08-15,NA,NA,NA,NA,NA,16.41,8.88,15.66,NA
L23920,F20,239,2014,8,15,18.0,NA,0.75,905,926,21,51,46,0.952,NA,2016-03-25,2014-08-15,NA,NA,519.3994651,203.8894651,582.5413288,14.44,7.40,21.14,NA
L239C1,C1,239,2014,8,15,18.0,NA,0.75,856,926,30,NA,NA,NA,NA,2016-03-25,2014-08-15,NA,NA,420.68,105.17,210.34,6.42,1.39,NA,NA
L239C2,C2,239,2014,8,15,18.0,NA,0.75,856,926,30,NA,NA,NA,NA,2016-03-25,2014-08-15,NA,NA,NA,NA,NA,2.88,-1.27,NA,NA
L239C3,C3,239,2014,8,15,18.0,NA,0.75,856,926,30,NA,NA,NA,NA,2016-03-25,2014-08-15,NA,NA,NA,NA,NA,27.28,17.03,NA,NA
L239C4,C4,239,2014,8,15,18.0,NA,0.75,856,926,30,NA,NA,NA,NA,2016-03-25,2014-08-15,NA,NA,NA,NA,NA,6.50,1.45,NA,NA
L239C5,C5,239,2014,8,15,18.0,NA,0.75,856,926,30,NA,NA,NA,NA,2016-03-25,2014-08-15,NA,NA,NA,NA,NA,2.48,-1.57,NA,NA
L2221,F1,222,2015,8,12,20.0,28.7,0.75,924,954,30,45,36,0.815,2015-08-12,2015-08-12,2015-08-12,2015-08-11,11.28660458,1736.831077,830.4521277,1660.904255,11.95,4.24,8.48,7.571533932
L2222,F2,222,2015,8,12,20.0,28.7,0.75,925,955,30,40,34,0.917,2015-08-12,2015-08-12,2015-08-12,2015-08-11,NA,2048.323662,1064.071567,2128.143133,15.66,7.02,14.04,7.386749922
L2223,F3,222,2015,8,12,20.0,28.7,0.75,925,956,31,42,35,0.752,2015-08-12,2015-08-12,2015-08-12,2015-08-11,16.4991986,1422.114765,594.4148936,1150.480439,14.91,6.46,12.50,7.75678398
L2224,F4,222,2015,8,12,20.0,28.7,0.75,926,957,31,52,41,1.410,2015-08-12,2015-08-12,2015-08-12,2015-08-11,9.2441774,932.1083172,226.910058,439.1807575,18.11,8.86,17.15,7.684315094
L2225,F5,222,2015,8,12,20.0,28.7,0.75,926,959,33,50,40,1.151,2015-08-12,2015-08-12,2015-08-12,2015-08-11,21.05421317,864.8130239,176.438588,320.7974327,18.70,9.30,16.92,7.429392386
L2226,F6,222,2015,8,12,20.0,28.7,0.75,927,1001,34,45,36,1.088,2015-08-12,2015-08-12,2015-08-12,2015-08-11,13.67530235,792.2791747,122.0382012,215.3615315,19.73,10.08,17.78,7.347136704
L2227,F7,222,2015,8,12,20.0,28.7,0.75,927,1001,34,47,37,0.423,2015-08-12,2015-08-12,2015-08-12,2015-08-11,9.980828767,800.7414571,128.384913,226.5616111,20.14,10.38,18.32,7.212684782
L2228,F8,222,2015,8,12,20.0,28.7,0.75,928,1003,35,52,41,1.232,2015-08-12,2015-08-12,2015-08-12,2015-08-11,10.35062982,1118.681496,366.839942,628.868472,14.95,6.49,11.13,7.323601792
L2229,F9,222,2015,8,12,20.0,28.7,0.75,929,1003,34,45,35,1.039,2015-08-12,2015-08-12,2015-08-12,2015-08-11,9.363451135,830.5609284,150.7495164,266.0285584,17.06,8.08,14.25,7.510016935
L22210,F10,222,2015,8,12,20.0,28.7,0.75,929,1003,34,50,41,1.068,2015-08-12,2015-08-12,2015-08-12,2015-08-11,9.880790214,737.4758221,80.93568665,142.8276823,13.33,5.27,9.31,7.568737705
L22211,F11,222,2015,8,12,20.0,28.7,0.75,930,1004,34,48,39,1.072,2015-08-12,2015-08-12,2015-08-12,2015-08-11,13.65044358,851.9181173,166.7674081,294.2954261,23.51,12.91,22.79,7.331990473
L22212,F12,222,2015,8,12,20.0,28.7,0.75,930,1004,34,47,37,1.125,2015-08-12,2015-08-12,2015-08-12,2015-08-11,9.925195586,609.7356544,-14.86943907,NA,15.86,7.17,12.66,6.895313001
L22213,F13,222,2015,8,12,20.0,28.7,0.75,931,1005,34,41,32,0.791,2015-08-12,2015-08-12,2015-08-12,2015-08-11,9.270134495,870.8575113,180.9719536,319.362271,22.33,12.02,21.22,7.719733971
L22214,F14,222,2015,8,12,20.0,28.7,0.75,932,1006,34,50,39,1.140,2015-08-12,2015-08-12,2015-08-12,2015-08-11,12.3834466,956.6892328,245.3457447,432.9630788,19.29,9.75,17.21,6.79115354
L22215,F15,222,2015,8,12,20.0,28.7,0.75,932,1006,34,45,37,0.983,2015-08-12,2015-08-12,2015-08-12,2015-08-11,10.44594678,535.589942,-70.4787234,NA,12.79,4.88,8.60,7.313348959
L22216,F16,222,2015,8,12,20.0,28.7,0.75,933,1006,33,42,33,0.738,2015-08-12,2015-08-12,2015-08-12,2015-08-11,12.00593806,662.1212121,24.41972921,44.39950765,14.92,6.47,11.76,7.572232989
L22217,F17,222,2015,8,12,20.0,28.7,0.75,1009,1039,30,51,44,1.255,2015-08-12,2015-08-12,2015-08-12,2015-08-11,9.589043696,1517.2147,665.7398453,1331.479691,15.26,6.73,13.45,7.369040483
L22218,F18,222,2015,8,12,20.0,28.7,0.75,1010,1040,30,50,41,1.202,2015-08-12,2015-08-12,2015-08-12,2015-08-11,12.48148518,955.4803353,244.4390716,488.8781431,17.54,8.44,16.88,7.303329145
L22219,F19,222,2015,8,12,20.0,28.7,0.75,1011,1041,30,50,43,1.214,2015-08-12,2015-08-12,2015-08-12,2015-08-11,8.685271636,772.5338491,107.229207,214.4584139,16.54,7.69,15.38,7.238549883
L22220,F20,222,2015,8,12,20.0,28.7,0.75,1011,1041,30,53,44,1.366,2015-08-12,2015-08-12,2015-08-12,2015-08-11,9.932376091,977.24049,260.7591876,521.5183752,20.61,10.73,21.47,7.500463159
L222C1,C1,222,2015,8,12,20.0,28.7,0.75,935,1006,31,NA,NA,NA,2015-08-12,2015-08-12,2015-08-12,2015-08-11,8.834483075,719.3423598,67.33558994,NA,5.79,-0.38,NA,7.515609389
L222C2,C2,222,2015,8,12,20.0,28.7,0.75,933,1006,33,NA,NA,NA,2015-08-12,2015-08-12,2015-08-12,2015-08-11,5.806838912,549.693746,-59.90087041,NA,NA,NA,NA,7.799193425
L222C3,C3,222,2015,8,12,20.0,28.7,0.75,1012,1042,30,NA,NA,NA,2015-08-12,2015-08-12,2015-08-12,2015-08-11,9.005730904,810.0096712,135.3360735,NA,8.20,1.43,NA,7.452694278
L222C4,C4,222,2015,8,12,20.0,28.7,0.75,1013,1043,30,NA,NA,NA,2015-08-12,2015-08-12,2015-08-12,2015-08-11,9.257656297,654.4648614,18.67746615,NA,4.01,-1.71,NA,7.661013201
L222C5,C5,222,2015,8,12,20.0,28.7,0.75,1015,1045,30,NA,NA,NA,2015-08-12,2015-08-12,2015-08-12,2015-08-11,8.027896813,414.2972276,-161.4482592,NA,7.17,0.66,NA,7.067513989
L2391,F1,239,2015,8,12,16.0,28.4,0.75,845,915,30,42,35,0.603,NA,2015-08-11,2015-08-11,2015-08-11,NA,295.9373148,70.58481476,141.1696295,17.86,10.76,21.51,11.35086794
L2392,F2,239,2015,8,12,16.0,28.4,0.75,846,916,30,41,34,0.667,NA,2015-08-11,2015-08-11,2015-08-11,NA,318.1661233,-4.461376704,NA,18.36,11.13,22.26,11.51724345
L2393,F3,239,2015,8,12,16.0,28.4,0.75,847,917,30,46,38,0.804,NA,2015-08-11,2015-08-11,2015-08-11,NA,321.8709247,-0.756575282,NA,11.08,5.67,11.34,11.36065473
L2394,F4,239,2015,8,12,16.0,28.4,0.75,847,917,30,40,34,0.583,NA,2015-08-11,2015-08-11,2015-08-11,NA,327.4281269,4.800626852,9.601253705,16.11,9.44,18.89,10.87877159
