"Plot Title: ela_meso_8 "
"#","Time, GMT-04:00","Temp, °C()","Host Connected()","Coupler Attached()","Stopped()","End Of File()"
410,07/05/12 12:30:00  PM,24.062,,,,
411,07/05/12 01:00:00  PM,24.158,,,,
412,07/05/12 01:30:00  PM,24.351,,,,
413,07/05/12 02:00:00  PM,24.448,,,,
414,07/05/12 02:30:00  PM,25.125,,,,
415,07/05/12 03:00:00  PM,25.416,,,,
416,07/05/12 03:30:00  PM,25.416,,,,
417,07/05/12 04:00:00  PM,25.513,,,,
418,07/05/12 04:30:00  PM,25.513,,,,
419,07/05/12 05:00:00  PM,25.513,,,,
420,07/05/12 05:30:00  PM,25.610,,,,
421,07/05/12 06:00:00  PM,25.513,,,,
422,07/05/12 06:30:00  PM,25.416,,,,
423,07/05/12 07:00:00  PM,25.319,,,,
424,07/05/12 07:30:00  PM,25.222,,,,
425,07/05/12 08:00:00  PM,25.222,,,,
426,07/05/12 08:30:00  PM,25.222,,,,
427,07/05/12 09:00:00  PM,25.125,,,,
428,07/05/12 09:30:00  PM,25.125,,,,
429,07/05/12 10:00:00  PM,25.125,,,,
430,07/05/12 10:30:00  PM,25.125,,,,
431,07/05/12 11:00:00  PM,25.125,,,,
432,07/05/12 11:30:00  PM,25.125,,,,
433,07/06/12 12:00:00  AM,25.125,,,,
434,07/06/12 12:30:00  AM,25.028,,,,
435,07/06/12 01:00:00  AM,24.931,,,,
436,07/06/12 01:30:00  AM,24.931,,,,
437,07/06/12 02:00:00  AM,24.835,,,,
438,07/06/12 02:30:00  AM,24.738,,,,
439,07/06/12 03:00:00  AM,24.738,,,,
440,07/06/12 03:30:00  AM,24.641,,,,
441,07/06/12 04:00:00  AM,24.545,,,,
442,07/06/12 04:30:00  AM,24.545,,,,
443,07/06/12 05:00:00  AM,24.448,,,,
444,07/06/12 05:30:00  AM,24.448,,,,
445,07/06/12 06:00:00  AM,24.351,,,,
446,07/06/12 06:30:00  AM,24.255,,,,
447,07/06/12 07:00:00  AM,24.255,,,,
448,07/06/12 07:30:00  AM,24.158,,,,
449,07/06/12 08:00:00  AM,24.158,,,,
450,07/06/12 08:30:00  AM,24.158,,,,
451,07/06/12 09:00:00  AM,24.062,,,,
452,07/06/12 09:30:00  AM,24.062,,,,
453,07/06/12 10:00:00  AM,23.966,,,,
454,07/06/12 10:30:00  AM,23.966,,,,
455,07/06/12 11:00:00  AM,23.966,,,,
456,07/06/12 11:30:00  AM,23.869,,,,
457,07/06/12 12:00:00  PM,23.869,,,,
458,07/06/12 12:30:00  PM,23.773,,,,
459,07/06/12 01:00:00  PM,23.869,,,,
460,07/06/12 01:30:00  PM,23.966,,,,
461,07/06/12 02:00:00  PM,24.062,,,,
462,07/06/12 02:30:00  PM,24.062,,,,
463,07/06/12 03:00:00  PM,24.158,,,,
464,07/06/12 03:30:00  PM,24.545,,,,
465,07/06/12 04:00:00  PM,24.835,,,,
466,07/06/12 04:30:00  PM,24.931,,,,
467,07/06/12 05:00:00  PM,25.125,,,,
468,07/06/12 05:30:00  PM,24.931,,,,
469,07/06/12 06:00:00  PM,24.545,,,,
470,07/06/12 06:30:00  PM,24.738,,,,
471,07/06/12 07:00:00  PM,24.641,,,,
472,07/06/12 07:30:00  PM,24.545,,,,
473,07/06/12 08:00:00  PM,24.545,,,,
474,07/06/12 08:30:00  PM,24.545,,,,
475,07/06/12 09:00:00  PM,24.545,,,,
476,07/06/12 09:30:00  PM,24.545,,,,
477,07/06/12 10:00:00  PM,24.641,,,,
478,07/06/12 10:30:00  PM,24.545,,,,
479,07/06/12 11:00:00  PM,24.545,,,,
480,07/06/12 11:30:00  PM,24.448,,,,
481,07/07/12 12:00:00  AM,24.448,,,,
482,07/07/12 12:30:00  AM,24.351,,,,
483,07/07/12 01:00:00  AM,24.255,,,,
484,07/07/12 01:30:00  AM,24.255,,,,
485,07/07/12 02:00:00  AM,24.158,,,,
486,07/07/12 02:30:00  AM,24.062,,,,
487,07/07/12 03:00:00  AM,24.062,,,,
488,07/07/12 03:30:00  AM,23.966,,,,
489,07/07/12 04:00:00  AM,23.869,,,,
490,07/07/12 04:30:00  AM,23.869,,,,
491,07/07/12 05:00:00  AM,23.773,,,,
492,07/07/12 05:30:00  AM,23.677,,,,
493,07/07/12 06:00:00  AM,23.581,,,,
494,07/07/12 06:30:00  AM,23.484,,,,
495,07/07/12 07:00:00  AM,23.484,,,,
496,07/07/12 07:30:00  AM,23.388,,,,
497,07/07/12 08:00:00  AM,23.388,,,,
498,07/07/12 08:30:00  AM,23.388,,,,
499,07/07/12 09:00:00  AM,23.484,,,,
500,07/07/12 09:30:00  AM,23.484,,,,
501,07/07/12 10:00:00  AM,23.581,,,,
502,07/07/12 10:30:00  AM,23.581,,,,
503,07/07/12 11:00:00  AM,23.677,,,,
504,07/07/12 11:30:00  AM,23.677,,,,
505,07/07/12 12:00:00  PM,23.677,,,,
506,07/07/12 12:30:00  PM,23.677,,,,
507,07/07/12 01:00:00  PM,23.773,,,,
508,07/07/12 01:30:00  PM,23.966,,,,
509,07/07/12 02:00:00  PM,24.158,,,,
510,07/07/12 02:30:00  PM,24.545,,,,
511,07/07/12 03:00:00  PM,24.931,,,,
512,07/07/12 03:30:00  PM,25.222,,,,
513,07/07/12 04:00:00  PM,25.416,,,,
514,07/07/12 04:30:00  PM,25.125,,,,
515,07/07/12 05:00:00  PM,25.319,,,,
516,07/07/12 05:30:00  PM,24.931,,,,
517,07/07/12 06:00:00  PM,24.835,,,,
518,07/07/12 06:30:00  PM,24.738,,,,
519,07/07/12 07:00:00  PM,24.738,,,,
520,07/07/12 07:30:00  PM,24.738,,,,
521,07/07/12 08:00:00  PM,24.835,,,,
522,07/07/12 08:30:00  PM,24.738,,,,
523,07/07/12 09:00:00  PM,24.738,,,,
524,07/07/12 09:30:00  PM,24.738,,,,
525,07/07/12 10:00:00  PM,24.835,,,,
526,07/07/12 10:30:00  PM,24.931,,,,
527,07/07/12 11:00:00  PM,24.835,,,,
528,07/07/12 11:30:00  PM,24.738,,,,
529,07/08/12 12:00:00  AM,24.738,,,,
530,07/08/12 12:30:00  AM,24.641,,,,
531,07/08/12 01:00:00  AM,24.641,,,,
532,07/08/12 01:30:00  AM,24.545,,,,
533,07/08/12 02:00:00  AM,24.448,,,,
534,07/08/12 02:30:00  AM,24.448,,,,
535,07/08/12 03:00:00  AM,24.351,,,,
536,07/08/12 03:30:00  AM,24.255,,,,
537,07/08/12 04:00:00  AM,24.255,,,,
538,07/08/12 04:30:00  AM,24.158,,,,
539,07/08/12 05:00:00  AM,24.062,,,,
540,07/08/12 05:30:00  AM,23.966,,,,
541,07/08/12 06:00:00  AM,23.869,,,,
542,07/08/12 06:30:00  AM,23.869,,,,
543,07/08/12 07:00:00  AM,23.773,,,,
544,07/08/12 07:30:00  AM,23.677,,,,
545,07/08/12 08:00:00  AM,23.677,,,,
546,07/08/12 08:30:00  AM,23.773,,,,
547,07/08/12 09:00:00  AM,23.773,,,,
548,07/08/12 09:30:00  AM,23.869,,,,
549,07/08/12 10:00:00  AM,23.869,,,,
550,07/08/12 10:30:00  AM,23.966,,,,
551,07/08/12 11:00:00  AM,23.869,,,,
