FishID,Sample type,Lake,Year,Sampling month,Sampling date,Temperature,Conductivity,Vol. pre-filtered water (L),Incub. Start time (24h),Incub. End time (24h),Time elapsed (min),Total length (mm),Fork length (mm),Wet.mass,Mass,Tag analysis date,TDN analysis date,TDP analysis date,DOC analysis date,Tag (µg/L),Tag excretion (µg),Tag.excretion.rate,TDN (µg/L),N excretion (µg),N.excretion.rate,TDP (µg/L),P excretion (µg),P.excretion.rate,DOC (mg/L),C excretion (mg),C excretion (mg C/ind/h),C.excretion.rate,Excreted.CN,Excreted.NP,Excreted.CP,Notes,Total.length.cm,Fork.length,ID,Species.code,Period,SiteClass,Treatment,massnorm.N.excr,massnorm.P.excr,massnorm.C.excr,massnorm.Tag.excr,massnorm.NP.excr,massnorm.CN.excr,massnorm.CP.excr,massnorm.NP.excr2,massnorm.NAg.excr,massnorm.PAg.excr
14L222C4,C4,222,2014,8,13,17,NA,0.75,958,1038,40,NA,NA,NA,NA,2014-08-13,2016-03-25,2014-08-13,NA,8.096811167,-0.859924279,NA,NA,NA,NA,3.91,-0.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,During,Impact,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14L222C5,C5,222,2014,8,13,17,NA,0.75,958,1038,40,NA,NA,NA,NA,2014-08-13,2016-03-25,2014-08-13,NA,10.52007876,1.563343318,NA,318.7054653,0,NA,4.1,0.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,During,Impact,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14L2391,F1,239,2014,8,15,18,NA,0.75,857,927,30,47,44,0.878,0.2195,NA,2016-03-25,2014-08-15,NA,NA,NA,NA,NA,NA,NA,11.32,5.06,10.12,NA,NA,NA,NA,NA,NA,NA,NA,4.7,44,NA,NA,During,Control,0,NA,46.10478359908883,NA,NA,NA,NA,NA,NA,NA,NA
14L2392,F2,239,2014,8,15,18,NA,0.75,858,928,30,51,48,1.29,0.3225,NA,2016-03-25,2014-08-15,NA,NA,NA,NA,NA,NA,NA,11.67,5.33,10.65,NA,NA,NA,NA,NA,NA,NA,NA,5.1,48,NA,NA,During,Control,0,NA,33.02325581395349,NA,NA,NA,NA,NA,NA,NA,NA
14L2393,F3,239,2014,8,15,18,NA,0.75,858,928,30,59,54,1.623,0.40575,NA,2016-03-25,2014-08-15,NA,NA,NA,NA,NA,NA,NA,19.75,11.38,22.77,NA,NA,NA,NA,NA,NA,NA,NA,5.9,54,NA,NA,During,Control,0,NA,56.11829944547135,NA,NA,NA,NA,NA,NA,NA,NA
14L2394,F4,239,2014,8,15,18,NA,0.75,859,929,30,47,43,0.715,0.17875,NA,2016-03-25,2014-08-15,NA,NA,NA,NA,NA,NA,NA,14.27,7.28,14.55,NA,NA,NA,NA,NA,NA,NA,NA,4.7,43,NA,NA,During,Control,0,NA,81.3986013986014,NA,NA,NA,NA,NA,NA,NA,NA
14L2395,F5,239,2014,8,15,18,NA,0.75,900,929,29,55,51,1.435,0.35875,NA,2016-03-25,2014-08-15,NA,NA,NA,NA,NA,NA,NA,13.31,6.56,13.56,NA,NA,NA,NA,NA,NA,NA,NA,5.5,51,NA,NA,During,Control,0,NA,37.79790940766551,NA,NA,NA,NA,NA,NA,NA,NA
14L2396,F6,239,2014,8,15,18,NA,0.75,900,931,31,48,45,0.891,0.22275,NA,2016-03-25,2014-08-15,NA,NA,NA,NA,NA,NA,NA,9.14,3.43,6.63,NA,NA,NA,NA,NA,NA,NA,NA,4.8,45,NA,NA,During,Control,0,NA,29.764309764309765,NA,NA,NA,NA,NA,NA,NA,NA
14L2397,F7,239,2014,8,15,18,NA,0.75,901,931,30,52,49,1.137,0.28425,NA,2016-03-25,2014-08-15,NA,NA,NA,NA,396.4830497,-18.14771276,NA,21.66796875,12.82,25.64,NA,NA,NA,NA,NA,NA,NA,NA,5.2,49,NA,NA,During,Control,0,NA,90.20228671943711,NA,NA,NA,NA,NA,NA,NA,NA
14L2398,F8,239,2014,8,15,18,NA,0.75,901,932,31,40,38,0.758,0.1895,NA,2016-03-25,2014-08-15,NA,NA,NA,NA,NA,NA,NA,7.95,2.53,4.9,NA,NA,NA,NA,NA,NA,NA,NA,4,38,NA,NA,During,Control,0,NA,25.857519788918207,NA,NA,NA,NA,NA,NA,NA,NA
14L2399,F9,239,2014,8,15,18,NA,0.75,901,933,32,50,47,0.949,0.23725,NA,2016-03-25,2014-08-15,NA,NA,NA,NA,NA,NA,NA,18.84,10.7,20.06,NA,NA,NA,NA,NA,NA,NA,NA,5,47,NA,NA,During,Control,0,NA,84.55216016859852,NA,NA,NA,NA,NA,NA,NA,NA
14L23910,F10,239,2014,8,15,18,NA,0.75,901,934,33,45,43,0.881,0.22025,NA,2016-03-25,2014-08-15,NA,NA,NA,NA,392.3475598,-21.24933017,NA,13.1,6.4,11.63,NA,NA,NA,NA,NA,NA,NA,NA,4.5,43,NA,NA,During,Control,0,NA,52.803632236095346,NA,NA,NA,NA,NA,NA,NA,NA
14L23911,F11,239,2014,8,15,18,NA,0.75,901,934,33,42,40,0.747,0.18675,NA,2016-03-25,2014-08-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.2,40,NA,NA,During,Control,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14L23912,F12,239,2014,8,15,18,NA,0.75,901,935,34,45,43,0.853,0.21325,NA,2016-03-25,2014-08-15,NA,NA,NA,NA,305.2327681,-86.58542389,NA,19.05,10.86,19.17,NA,NA,NA,NA,NA,NA,NA,NA,4.5,43,NA,NA,During,Control,0,NA,89.89449003517,NA,NA,NA,NA,NA,NA,NA,NA
14L23913,F13,239,2014,8,15,18,NA,0.75,902,936,34,50,47,1.19,0.2975,NA,2016-03-25,2014-08-15,NA,NA,NA,NA,NA,NA,NA,18.25,10.26,18.1,NA,NA,NA,NA,NA,NA,NA,NA,5,47,NA,NA,During,Control,0,NA,60.840336134453786,NA,NA,NA,NA,NA,NA,NA,NA
14L23914,F14,239,2014,8,15,18,NA,0.75,903,936,33,50,47,1.099,0.27475,NA,2016-03-25,2014-08-15,NA,NA,NA,NA,NA,NA,NA,20.37,11.85,21.54,NA,NA,NA,NA,NA,NA,NA,NA,5,47,NA,NA,During,Control,0,NA,78.3985441310282,NA,NA,NA,NA,NA,NA,NA,NA
14L23915,F15,239,2014,8,15,18,NA,0.75,903,937,34,45,43,0.743,0.18575,NA,2016-03-25,2014-08-15,NA,NA,NA,NA,NA,NA,NA,12,5.57,9.83,NA,NA,NA,NA,NA,NA,NA,NA,4.5,43,NA,NA,During,Control,0,NA,52.920592193808886,NA,NA,NA,NA,NA,NA,NA,NA
14L23916,F16,239,2014,8,15,18,NA,0.75,903,937,34,48,45,0.928,0.232,NA,2016-03-25,2014-08-15,NA,NA,NA,NA,357.2795431,-47.55034271,NA,12.89,6.24,11.01,NA,NA,NA,NA,NA,NA,NA,NA,4.8,45,NA,NA,During,Control,0,NA,47.456896551724135,NA,NA,NA,NA,NA,NA,NA,NA
14L23917,F17,239,2014,8,15,18,NA,0.75,904,938,34,49,47,1.009,0.25225,NA,2016-03-25,2014-08-15,NA,NA,NA,NA,NA,NA,NA,18.28,10.28,18.14,NA,NA,NA,NA,NA,NA,NA,NA,4.9,47,NA,NA,During,Control,0,NA,71.9127849355798,NA,NA,NA,NA,NA,NA,NA,NA
14L23918,F18,239,2014,8,15,18,NA,0.75,904,938,34,47,45,0.882,0.2205,NA,2016-03-25,2014-08-15,NA,NA,NA,NA,NA,NA,NA,16.38,8.85,15.62,NA,NA,NA,NA,NA,NA,NA,NA,4.7,45,NA,NA,During,Control,0,NA,70.83900226757369,NA,NA,NA,NA,NA,NA,NA,NA
14L23919,F19,239,2014,8,15,18,NA,0.75,905,939,34,47,45,0.904,0.226,NA,2016-03-25,2014-08-15,NA,NA,NA,NA,NA,NA,NA,16.41,8.88,15.66,NA,NA,NA,NA,NA,NA,NA,NA,4.7,45,NA,NA,During,Control,0,NA,69.29203539823008,NA,NA,NA,NA,NA,NA,NA,NA
14L23920,F20,239,2014,8,15,18,NA,0.75,905,926,21,51,46,0.952,0.238,NA,2016-03-25,2014-08-15,NA,NA,NA,NA,519.3994651,74.03959881,211.5417109,14.44,7.4,21.14,NA,NA,NA,NA,NA,22.15704542,NA,NA,5.1,46,NA,NA,During,Control,0,888.8307180672269,88.82352941176471,NA,NA,22.157700492972022,NA,NA,93.09682949579832,NA,NA
14L239C1,C1,239,2014,8,15,18,NA,0.75,856,926,30,NA,NA,NA,NA,NA,2016-03-25,2014-08-15,NA,NA,NA,NA,NA,NA,NA,6.42,1.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,During,Control,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14L239C2,C2,239,2014,8,15,18,NA,0.75,856,926,30,NA,NA,NA,NA,NA,2016-03-25,2014-08-15,NA,NA,NA,NA,NA,NA,NA,2.88,-1.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,During,Control,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14L239C3,C3,239,2014,8,15,18,NA,0.75,856,926,30,NA,NA,NA,NA,NA,2016-03-25,2014-08-15,NA,NA,NA,NA,NA,NA,NA,27.28,17.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,During,Control,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14L239C4,C4,239,2014,8,15,18,NA,0.75,856,926,30,NA,NA,NA,NA,NA,2016-03-25,2014-08-15,NA,NA,NA,NA,NA,NA,NA,6.5,1.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,During,Control,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14L239C5,C5,239,2014,8,15,18,NA,0.75,856,926,30,NA,NA,NA,NA,NA,2016-03-25,2014-08-15,NA,NA,NA,NA,NA,NA,NA,2.48,-1.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,During,Control,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15L2221,F1,222,2015,8,12,20,28.7,0.75,924,954,30,45,36,0.815,0.20375,2015-08-12,2015-08-12,2015-08-12,2015-08-11,11.28660458,3.100083378,6.200166756,1736.831077,830.4521277,1660.904255,11.95,4.24,8.48,7.571533932,0.072329075,0.144658151,144.658151,0.101612024,433.4693558,44.04569851,NA,4.5,36,NA,NA,During,Impact,1,8151.677325153374,41.61963190184049,709.978655214724,30.430266287116567,433.6929911135445,0.10161202388715258,44.068422572720124,2127.4569609815953,2047.372989870689,12.195370916461417
15L2222,F2,222,2015,8,12,20,28.7,0.75,925,955,30,40,34,0.917,0.22925,2015-08-12,2015-08-12,2015-08-12,2015-08-11,NA,NA,NA,2048.323662,1064.071567,2128.143133,15.66,7.02,14.04,7.386749922,-0.112454935,NA,NA,NA,335.5454874,NA,NA,4,34,NA,NA,During,Impact,1,9283.067101417666,61.243184296619404,NA,NA,335.635109498372,NA,NA,1463.6662482006543,NA,NA
15L2223,F3,222,2015,8,12,20,28.7,0.75,925,956,31,42,35,0.752,0.188,2015-08-12,2015-08-12,2015-08-12,2015-08-11,16.4991986,8.312677404,16.08905304,1422.114765,594.4148936,1150.480439,14.91,6.46,12.5,7.75678398,0.257579124,0.49854024,498.5402397,0.505554253,203.7665265,103.0150342,NA,4.2,35,NA,NA,During,Impact,1,6119.576803191489,66.48936170212765,2651.809785638298,85.58006936170213,203.79939205142858,0.5055542536260368,103.03164953800001,1083.8645026595746,546.5180342850415,6.927588159242797
15L2224,F4,222,2015,8,12,20,28.7,0.75,926,957,31,52,41,1.41,0.3525,2015-08-12,2015-08-12,2015-08-12,2015-08-11,9.2441774,1.0576562,2.047076517,932.1083172,226.910058,439.1807575,18.11,8.86,17.15,7.684315094,0.185110237,0.358277878,358.277878,0.951751302,56.71322186,53.97688274,NA,5.2,41,NA,NA,During,Impact,1,1245.9028581560285,48.652482269503544,1016.3911432624113,5.807309268085106,56.70388789046232,0.9517513017784406,53.967999115646265,160.88857265248228,1639.702161394237,74.70206026174318
15L2225,F5,222,2015,8,12,20,28.7,0.75,926,959,33,50,40,1.151,0.28775,2015-08-12,2015-08-12,2015-08-12,2015-08-11,21.05421317,12.86769197,23.39580358,864.8130239,176.438588,320.7974327,18.7,9.3,16.92,7.429392386,-0.069812471,NA,NA,NA,41.9880243,NA,NA,5,40,NA,NA,During,Impact,1,1114.8477244135534,58.80104257167681,NA,81.30600722849695,41.98210238812901,NA,NA,145.91841633362293,104.79695392969396,6.44859235050904
15L2226,F6,222,2015,8,12,20,28.7,0.75,927,1001,34,45,36,1.088,0.272,2015-08-12,2015-08-12,2015-08-12,2015-08-11,13.67530235,5.488781152,9.686084386,792.2791747,122.0382012,215.3615315,19.73,10.08,17.78,7.347136704,-0.152068153,NA,NA,NA,26.8132659,NA,NA,4.5,36,NA,NA,During,Impact,1,791.7703363970588,65.36764705882352,NA,35.61060436029411,26.82069530973807,NA,NA,98.57818345588235,169.93217834241455,16.367639080501952
15L2227,F7,222,2015,8,12,20,28.7,0.75,927,1001,34,47,37,0.423,0.10575,2015-08-12,2015-08-12,2015-08-12,2015-08-11,9.980828767,1.794307567,3.166425119,800.7414571,128.384913,226.5616111,20.14,10.38,18.32,7.212684782,-0.286520075,NA,NA,NA,27.37994919,NA,NA,4.7,37,NA,NA,During,Impact,1,2142.42658250591,173.2387706855792,NA,29.94255431678487,27.383850374688084,NA,NA,258.9120490780142,546.8558271921848,51.58919828962275
15L2228,F8,222,2015,8,12,20,28.7,0.75,928,1003,35,52,41,1.232,0.308,2015-08-12,2015-08-12,2015-08-12,2015-08-11,10.35062982,2.164108619,3.709900489,1118.681496,366.839942,628.868472,14.95,6.49,11.13,7.323601792,-0.175603065,NA,NA,NA,125.0726822,NA,NA,5.2,41,NA,NA,During,Impact,1,2041.7807532467532,36.13636363636364,NA,12.045131457792207,125.11181255294568,NA,NA,406.08013701298705,1295.5473893151254,26.750717517695666
15L2229,F9,222,2015,8,12,20,28.7,0.75,929,1003,34,45,35,1.039,0.25975,2015-08-12,2015-08-12,2015-08-12,2015-08-11,9.363451135,1.176929935,2.07693518,830.5609284,150.7495164,266.0285584,17.06,8.08,14.25,7.510016935,0.010812078,0.019080138,19.08013817,0.083675833,41.32977374,3.45830324,NA,4.5,35,NA,NA,During,Impact,1,1024.1715434071223,54.8604427333975,73.4557773628489,7.9959005967276235,41.33777097944863,0.08367583289634267,3.4589724167836264,159.1136621366699,978.9512389940975,61.17788423228499
15L22210,F10,222,2015,8,12,20,28.7,0.75,929,1003,34,50,41,1.068,0.267,2015-08-12,2015-08-12,2015-08-12,2015-08-11,9.880790214,1.694269014,2.989886495,737.4758221,80.93568665,142.8276823,13.33,5.27,9.31,7.568737705,0.069532848,0.122705026,122.7050265,1.002297747,33.98442377,34.06251138,NA,5,41,NA,NA,During,Impact,1,534.9351397003745,34.8689138576779,459.5693876404494,11.198076760299625,33.970064073193186,1.0022977475004506,34.04811870300752,127.28248602996254,365.10134203749624,27.76498934173308
15L22211,F11,222,2015,8,12,20,28.7,0.75,930,1004,34,48,39,1.072,0.268,2015-08-12,2015-08-12,2015-08-12,2015-08-11,13.65044358,5.463922377,9.64221596,851.9181173,166.7674081,294.2954261,23.51,12.91,22.79,7.331990473,-0.167214383,NA,NA,NA,28.59446355,NA,NA,4.8,39,NA,NA,During,Impact,1,1098.117261567164,85.03731343283582,NA,35.978417761194024,28.593863878580827,NA,NA,106.69575951492537,233.27188571687742,21.07511739794442
15L22212,F12,222,2015,8,12,20,28.7,0.75,930,1004,34,47,37,1.125,0.28125,2015-08-12,2015-08-12,2015-08-12,2015-08-11,9.925195586,1.738674386,3.068248917,609.7356544,-14.86943907,NA,15.86,7.17,12.66,6.895313001,-0.603891856,NA,NA,NA,NA,NA,NA,4.7,37,NA,NA,During,Impact,1,NA,45.013333333333335,NA,10.909329482666667,NA,NA,NA,NA,NA,36.79134354926263
